City,Date,Observations,Variables,Size (MB)
san-francisco,2016-02-02,8299,92,6.108192
san-francisco,2016-04-03,8012,92,5.89696
san-francisco,2016-05-02,8086,92,5.951424
san-francisco,2016-06-02,8440,95,6.414528
san-francisco,2016-07-02,8619,95,6.550568
san-francisco,2016-08-02,8610,95,6.543728
san-francisco,2016-09-02,8665,95,6.585528
san-francisco,2016-10-01,8759,95,6.656968
san-francisco,2016-11-02,8864,95,6.736768
san-francisco,2016-12-03,9066,95,6.890288
san-francisco,2017-01-01,9035,95,6.866728
san-francisco,2017-02-02,8777,95,6.670648
san-francisco,2017-03-02,8720,95,6.627328
san-francisco,2017-04-02,8706,95,6.616688
san-francisco,2017-05-02,8770,95,6.665328
san-francisco,2017-06-02,8799,95,6.687368
san-francisco,2017-07-02,8855,95,6.729928
san-francisco,2017-08-02,9057,95,6.883448
san-francisco,2017-09-02,8529,96,6.5504
san-francisco,2017-10-02,8933,96,6.860672
san-francisco,2017-11-01,8929,96,6.8576
san-francisco,2017-11-08,6866,96,5.273216
san-francisco,2017-12-02,6940,96,5.330048
san-francisco,2017-12-07,6650,96,5.107328
san-francisco,2018-01-10,6506,96,4.996736
san-francisco,2018-01-17,5224,96,4.01216
san-francisco,2018-02-02,4727,96,3.630464
san-francisco,2018-03-04,4804,96,3.6896
san-francisco,2018-04-06,4844,96,3.72032
san-francisco,2018-05-09,4774,96,3.66656
san-francisco,2018-07-05,4693,96,3.604352
san-francisco,2018-08-06,6633,96,5.094272
san-francisco,2018-09-08,6529,96,5.0144
san-francisco,2018-10-03,6807,96,5.227904
san-francisco,2018-11-03,6981,96,5.361536
san-francisco,2018-12-06,7072,96,5.431424
san-francisco,2019-01-09,7251,106,6.148976
san-francisco,2019-02-01,7198,106,6.104032
san-francisco,2019-03-06,7151,106,6.064176
san-francisco,2019-04-03,7277,106,6.171024
san-francisco,2019-05-03,7353,106,6.235472
san-francisco,2019-06-02,7575,106,6.423728
san-francisco,2019-07-08,7738,106,6.561952
san-francisco,2019-08-06,7833,106,6.642512
san-francisco,2019-09-12,7933,106,6.727312
san-francisco,2019-10-14,8111,106,6.878256
san-francisco,2019-11-01,8307,106,7.044464
san-francisco,2019-12-04,8533,106,7.236112
